ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,cash_flow_normalization,fcf_source
GOOGL,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001652044-23-000045,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045-index.htm,69787000000.0,30612000000.0,39175000000.0,24318000000.0,10292000000.0,11468000000.0,17415000000.0,,18205000000.0,3154000000.0,,,15051000000.0,15051000000.0,0.0,15051000000.0,1.18,1.17,,12781000000.0,13706000000.0,,,,,,,
GOOGL,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001652044-23-000070,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070-index.htm,74604000000.0,31916000000.0,42688000000.0,20920000000.0,10262000000.0,10588000000.0,21838000000.0,,21903000000.0,3535000000.0,,,18368000000.0,18368000000.0,0.0,18368000000.0,1.45,1.44,,12668000000.0,13643000000.0,,,,,,,
GOOGL,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001652044-23-000094,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094-index.htm,76693000000.0,33229000000.0,43464000000.0,22223000000.0,10863000000.0,11258000000.0,21343000000.0,,21197000000.0,1508000000.0,,,19689000000.0,19689000000.0,0.0,19689000000.0,1.56,1.55,,12581000000.0,13571000000.0,,,,,,,
GOOGL,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001652044-24-000022,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,86310000000.0,37575000000.0,48735000000.0,25038000000.0,12925000000.0,12113000000.0,23697000000.0,69000000.0,24481000000.0,3725000000.0,0.0,0.0,20687000000.0,20687000000.0,0.0,20687000000.0,1.65,1.64,0.0,12516000000.0,,,,,,,,
GOOGL,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001652044-24-000053,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,80539000000.0,33712000000.0,46827000000.0,21355000000.0,9452000000.0,11903000000.0,25472000000.0,,28315000000.0,4653000000.0,,,23662000000.0,23662000000.0,0.0,23662000000.0,1.91,1.89,,12415000000.0,13396000000.0,,,,,,,
GOOGL,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001652044-24-000079,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,84742000000.0,35507000000.0,49235000000.0,21810000000.0,9950000000.0,11860000000.0,27425000000.0,67000000.0,27618000000.0,3932000000.0,,,23619000000.0,23619000000.0,0.0,23619000000.0,1.91,1.89,0.2,12343000000.0,12495000000.0,,,,,,,
GOOGL,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001652044-24-000118,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,88268000000.0,36474000000.0,51794000000.0,23273000000.0,10826000000.0,12447000000.0,28521000000.0,54000000.0,31760000000.0,5405000000.0,,,26301000000.0,26301000000.0,0.0,26301000000.0,2.14,2.12,0.2,12290000000.0,12419000000.0,,,,,,,
GOOGL,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001652044-25-000014,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,96469000000.0,40613000000.0,55856000000.0,24884000000.0,11768000000.0,13116000000.0,30972000000.0,53000000.0,32296000000.0,5707000000.0,0.0,0.0,26536000000.0,26536000000.0,0.0,26536000000.0,2.17,2.14,0.2,12241000000.0,,,,,,,,
GOOGL,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001652044-25-000043,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,90234000000.0,36361000000.0,53873000000.0,23363000000.0,9711000000.0,13556000000.0,30606000000.0,34000000.0,41823000000.0,7249000000.0,,,34540000000.0,34540000000.0,0.0,34540000000.0,2.84,2.81,0.2,12183000000.0,12291000000.0,,,,,,,
GOOGL,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001652044-25-000062,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,96428000000.0,39039000000.0,57389000000.0,26230000000.0,12310000000.0,13808000000.0,31271000000.0,261000000.0,34194000000.0,5737000000.0,,,28196000000.0,28196000000.0,0.0,28196000000.0,2.33,2.31,0.21,12122000000.0,12198000000.0,,,,,,,
GOOGL,2025Q3,2025-09-30,2025-Q3,quarterly,USD,0001652044-25-000091,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,102346000000.0,41369000000.0,60977000000.0,29901000000.0,14598000000.0,15151000000.0,31228000000.0,143000000.0,44130000000.0,9008000000.0,,,34979000000.0,34979000000.0,0.0,34979000000.0,2.89,2.87,0.21,12086000000.0,12203000000.0,,,,,,,
GOOGL,2025Q4,2025-12-31,2025-Q4,quarterly,USD,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,113829000000.0,45767000000.0,68062000000.0,32128000000.0,13556000000.0,18572000000.0,35934000000.0,298000000.0,39415000000.0,4662000000.0,0.0,0.0,34455000000.0,34455000000.0,0.0,34455000000.0,2.85,2.82,0.21,12067000000.0,,,,,,,,
GOOGL,2026Q1,2026-03-31,2026-Q1,quarterly,USD,0001652044-26-000048,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,109896000000.0,41271000000.0,68625000000.0,28929000000.0,11897000000.0,17032000000.0,39696000000.0,0.0,77412000000.0,14834000000.0,0.0,0.0,62578000000.0,62578000000.0,0.0,62578000000.0,5.17,5.11,0.21,12097000000.0,,,,,,,,
