ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,cash_flow_normalization,fcf_source
META,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001326801-23-000067,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000067/0001326801-23-000067-index.htm,28645000000.0,6108000000.0,22537000000.0,16231000000.0,5929000000.0,9381000000.0,7227000000.0,54000000.0,7361000000.0,1598000000.0,,,5709000000.0,5709000000.0,0.0,5709000000.0,2.21,2.2,,2587000000.0,2596000000.0,,,,,,,
META,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001326801-23-000093,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000093/0001326801-23-000093-index.htm,31999000000.0,5945000000.0,26054000000.0,17789000000.0,7318000000.0,9344000000.0,9392000000.0,115000000.0,9408000000.0,1505000000.0,,,7788000000.0,7788000000.0,0.0,7788000000.0,3.03,2.98,,2568000000.0,2612000000.0,,,,,,,
META,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001326801-23-000103,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000103/0001326801-23-000103-index.htm,34146000000.0,6210000000.0,27936000000.0,15642000000.0,4947000000.0,9241000000.0,13748000000.0,137000000.0,14157000000.0,2437000000.0,,,11583000000.0,11583000000.0,0.0,11583000000.0,4.5,4.39,,2576000000.0,2641000000.0,,,,,,,
META,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001326801-24-000012,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,40111000000.0,7695000000.0,32416000000.0,16032000000.0,5515000000.0,10517000000.0,16384000000.0,0.0,16807000000.0,2790000000.0,0.0,0.0,14017000000.0,14017000000.0,0.0,14017000000.0,5.46,5.31,0.0,2565000000.0,2647000000.0,,,,,,,
META,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001326801-24-000049,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/0001326801-24-000049-index.htm,36455000000.0,6640000000.0,29815000000.0,16237000000.0,6019000000.0,9978000000.0,13818000000.0,,14183000000.0,1814000000.0,,,12369000000.0,12369000000.0,0.0,12369000000.0,4.86,4.71,0.5,2545000000.0,2625000000.0,,,,,,,
META,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001326801-24-000069,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069-index.htm,39071000000.0,7308000000.0,31763000000.0,17196000000.0,6379000000.0,10537000000.0,14847000000.0,,15106000000.0,1641000000.0,,,13465000000.0,13465000000.0,0.0,13465000000.0,5.31,5.16,0.5,2534000000.0,2610000000.0,,,,,,,
META,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001326801-24-000081,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,40589000000.0,7375000000.0,33214000000.0,16152000000.0,4687000000.0,11177000000.0,17350000000.0,200000000.0,18022000000.0,2134000000.0,,,15688000000.0,15688000000.0,0.0,15688000000.0,6.2,6.03,0.5,2529000000.0,2600000000.0,,,,,,,
META,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001326801-25-000017,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,48385000000.0,8839000000.0,39546000000.0,16182000000.0,4002000000.0,12180000000.0,23364000000.0,0.0,23552000000.0,2714000000.0,0.0,0.0,20838000000.0,20838000000.0,0.0,20838000000.0,8.24,7.98,0.5,2528000000.0,2611000000.0,,,,,,,
META,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001326801-25-000054,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,42314000000.0,7572000000.0,34742000000.0,30138000000.0,5037000000.0,12150000000.0,17555000000.0,,18382000000.0,1738000000.0,,,16644000000.0,16644000000.0,0.0,16644000000.0,6.59,6.43,0.525,2527000000.0,2590000000.0,,,,,,,
META,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001628280-25-036791,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,47516000000.0,8491000000.0,39025000000.0,33800000000.0,5642000000.0,12942000000.0,20441000000.0,,20534000000.0,2197000000.0,,,18337000000.0,18337000000.0,0.0,18337000000.0,7.28,7.14,0.525,2518000000.0,2570000000.0,,,,,,,
META,2025Q3,2025-09-30,2025-Q3,quarterly,USD,0001628280-25-047240,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,51242000000.0,9206000000.0,42036000000.0,39176000000.0,6357000000.0,15144000000.0,20535000000.0,,21663000000.0,18954000000.0,,,2709000000.0,2709000000.0,0.0,2709000000.0,1.08,1.05,0.525,2517000000.0,2572000000.0,,,,,,,
