ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
ORCL,2023Q2,2023-05-31,2023-Q4,quarterly,USD,0000950170-23-028914,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/orcl-20230531.htm,13837000000.0,3730000000.0,10106000000.0,5966000000.0,2689000000.0,2226000000.0,4140000000.0,955000000.0,4064000000.0,-210000000.0,0.0,0.0,3319000000.0,3319000000.0,0.0,3319000000.0,1.23,1.19,0.4,2707000000.0,2796000000.0,,,,,,,,,,,,
ORCL,2023Q3,2023-08-31,2024-Q1,quarterly,USD,0000950170-23-047713,https://www.sec.gov/Archives/edgar/data/1341439/000095017023047713/0000950170-23-047713-index.htm,12453000000.0,3610000000.0,,5547000000.0,2419000000.0,2216000000.0,3296000000.0,,2375000000.0,-45000000.0,,,2420000000.0,2420000000.0,0.0,2420000000.0,0.89,0.86,0.4,2728000000.0,2823000000.0,,,,,,,,,,,,
ORCL,2023Q4,2023-11-30,2024-Q2,quarterly,USD,0000950170-23-069682,https://www.sec.gov/Archives/edgar/data/1341439/000095017023069682/0000950170-23-069682-index.htm,12941000000.0,3740000000.0,,5579000000.0,2468000000.0,2226000000.0,3622000000.0,,2720000000.0,217000000.0,,,2503000000.0,2503000000.0,0.0,2503000000.0,0.91,0.89,0.4,2746000000.0,2817000000.0,,,,,,,,,,,,
ORCL,2024Q1,2024-02-29,2024-Q3,quarterly,USD,0000950170-24-029904,https://www.sec.gov/Archives/edgar/data/1341439/000095017024029904/0000950170-24-029904-index.htm,13280000000.0,3869000000.0,,5661000000.0,2419000000.0,2248000000.0,3750000000.0,,2865000000.0,464000000.0,,,2401000000.0,2401000000.0,0.0,2401000000.0,0.87,0.85,0.4,2748000000.0,2819000000.0,,,,,,,,,,,,
ORCL,2024Q2,2024-05-31,2024-Q4,quarterly,USD,0000950170-24-075605,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm,14287000000.0,3923000000.0,10363000000.0,5677000000.0,2516000000.0,2226000000.0,4686000000.0,878000000.0,4660000000.0,639000000.0,0.0,0.0,3143000000.0,3143000000.0,0.0,3143000000.0,1.14,1.11,0.4,2753000000.0,2834000000.0,,,,,,,,,,,,
ORCL,2024Q3,2024-08-31,2025-Q1,quarterly,USD,0000950170-24-104905,https://www.sec.gov/Archives/edgar/data/1341439/000095017024104905/0000950170-24-104905-index.htm,13307000000.0,3906000000.0,,5410000000.0,2394000000.0,2306000000.0,3991000000.0,,3169000000.0,240000000.0,,,2929000000.0,2929000000.0,0.0,2929000000.0,1.06,1.03,0.4,2761000000.0,2851000000.0,,,,,,,,,,,,
ORCL,2024Q4,2024-11-30,2025-Q2,quarterly,USD,0000950170-24-134973,https://www.sec.gov/Archives/edgar/data/1341439/000095017024134973/0000950170-24-134973-index.htm,14059000000.0,4085000000.0,,5754000000.0,2577000000.0,2471000000.0,4220000000.0,,3390000000.0,239000000.0,,,3151000000.0,3151000000.0,0.0,3151000000.0,1.13,1.1,0.4,2790000000.0,2869000000.0,,,,,,,,,,,,
ORCL,2025Q1,2025-02-28,2025-Q3,quarterly,USD,0000950170-25-037143,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/0000950170-25-037143-index.htm,14130000000.0,4195000000.0,,5577000000.0,2509000000.0,2429000000.0,4358000000.0,,3448000000.0,512000000.0,,,2936000000.0,2936000000.0,0.0,2936000000.0,1.05,1.02,0.4,2799000000.0,2874000000.0,,,,,,,,,,,,
ORCL,2025Q2,2025-05-31,2025-Q4,quarterly,USD,0000950170-25-087926,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,15903000000.0,4740000000.0,11162000000.0,6053000000.0,2773000000.0,2654000000.0,5109000000.0,978000000.0,5130000000.0,724000000.0,0.0,0.0,3427000000.0,3427000000.0,0.0,3427000000.0,1.22,1.19,0.5,2805000000.0,2871000000.0,,,,,,,,,,,,
ORCL,2025Q3,2025-08-31,2026-Q1,quarterly,USD,0001193125-25-200095,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/0001193125-25-200095-index.htm,14926000000.0,4884000000.0,,5824000000.0,2439000000.0,2491000000.0,4277000000.0,48000000.0,3475000000.0,500000000.0,,,2927000000.0,2927000000.0,0.0,2927000000.0,1.04,1.01,0.5,2826000000.0,2909000000.0,,,,,,,,,,,,
ORCL,2025Q4,2025-11-30,2026-Q2,quarterly,USD,0001193125-25-315925,https://www.sec.gov/Archives/edgar/data/1341439/000119312525315925/0001193125-25-315925-index.htm,16058000000.0,5374000000.0,,6028000000.0,2558000000.0,2561000000.0,4731000000.0,59000000.0,6401000000.0,207000000.0,,,6135000000.0,6135000000.0,0.0,6135000000.0,2.14,2.1,0.5,2864000000.0,2922000000.0,,,,,,,,,,,,
ORCL,2026Q1,2026-02-28,2026-Q3,quarterly,USD,0001193125-26-101045,https://www.sec.gov/Archives/edgar/data/0001341439/000119312526101045/orcl-20260228.htm,17190000000.0,6092000000.0,,5732000000.0,2441000000.0,2607000000.0,5464000000.0,77000000.0,4493000000.0,695000000.0,,,3721000000.0,3699000000.0,22000000.0,3721000000.0,1.29,1.27,0.5,2874000000.0,2912000000.0,,,,,,,,,,,,
